frequency_hz,input_vpp_generator,true_output_peak_mV,single_phase_theoretical_projection_mV,recovered_single_phase_projection_mV,error_vs_true_peak_percent,error_vs_single_phase_projection_percent,u_A_mV,relative_u_A_percent,true_phase_deg,reference_filter_phase_delay_deg,input_snr_db,single_phase_snr_db,enbw_hz,neff,effective_duration_s,reference_quality_mean,steady_count,effective_count,figure,seed,samples,sample_rate_hz,duration_s
1000.0,0.1,5.0,4.951340343707852,4.942416512582308,-1.1516697483538452,-0.18023061446147404,0.19512215194338048,3.947909923144727,8.0,19.893683289173048,3.175373433088727,17.935117416346834,1.0802009169031161,10.321760747781415,4.777704122568885,0.9602423053670942,57684,57684,six_panel/1kHz/single_phase_1kHz_0p1Vpp_phi_8deg.png,20260706,72000,12000.0,6.0
1000.0,1.0,50.0,49.51340343707852,49.48639094351471,-1.0272181129705849,-0.05455592160644729,0.19302688425393852,0.3900605410369597,8.0,19.893683289173048,23.10199848949644,38.03131150475829,1.0802009169031161,10.342006630990785,4.787075473255854,0.9600492009767091,57684,57684,six_panel/1kHz/single_phase_1kHz_1Vpp_phi_8deg.png,20260707,72000,12000.0,6.0
1000.0,3.0,150.0,148.54021031123554,148.43426100956498,-1.0438259936233485,-0.07132701741069392,0.19156094125507056,0.12905439751724607,8.0,19.893683289173048,32.759262161874254,47.64843443302864,1.0802009169031161,10.318366303796818,4.776132913022828,0.9604765109117991,57684,57684,six_panel/1kHz/single_phase_1kHz_3Vpp_phi_8deg.png,20260708,72000,12000.0,6.0
1000.0,5.0,250.0,247.5670171853926,247.46133299039337,-1.0154668038426462,-0.04268912563585303,0.21455636032582492,0.08670298415233792,8.0,19.893683289173048,37.22147730902981,51.243649015087904,1.0802009169031161,9.990034955451224,4.624155932070568,0.9601138693562924,57684,57684,six_panel/1kHz/single_phase_1kHz_5Vpp_phi_8deg.png,20260709,72000,12000.0,6.0
1000.0,10.0,500.0,495.1340343707852,495.21893341452807,-0.9562133170943898,0.01714667905039491,0.3191950869382841,0.06445534800889743,8.0,19.893683289173048,43.127849569514055,53.92889814396159,1.0802009169031161,9.740747157072121,4.50876638070183,0.960177972164636,57684,57684,six_panel/1kHz/single_phase_1kHz_10Vpp_phi_8deg.png,20260710,72000,12000.0,6.0
2000.0,0.1,5.0,4.951340343707852,4.938869964064028,-1.2226007187194354,-0.25185866408214963,0.19496885956960472,3.9476410796037937,8.0,20.181265262449916,1.5882139937536408,17.912905694620708,1.0839200182125484,10.376099107146448,4.786376731125089,0.9602229796162666,115440,115440,six_panel/2kHz/single_phase_2kHz_0p1Vpp_phi_8deg.png,20260711,144000,24000.0,6.0
2000.0,1.0,50.0,49.51340343707852,49.511659131425795,-0.9766817371484215,-0.003522895886054478,0.19702508697161325,0.39793674950100477,8.0,20.181265262449916,21.740526809152875,37.865858526690985,1.0839200182125484,10.32252755964048,4.761664784392012,0.9599923215209886,115440,115440,six_panel/2kHz/single_phase_2kHz_1Vpp_phi_8deg.png,20260712,144000,24000.0,6.0
2000.0,3.0,150.0,148.54021031123554,148.40797547572504,-1.0613496828499658,-0.0890229219639771,0.2280956546444174,0.153695011277697,8.0,20.181265262449916,31.134171007278184,46.16933197369703,1.0839200182125484,10.226976554909886,4.717588190581998,0.9603757395048168,115440,115440,six_panel/2kHz/single_phase_2kHz_3Vpp_phi_8deg.png,20260713,144000,24000.0,6.0
2000.0,5.0,250.0,247.5670171853926,247.55121461404264,-0.9795141543829433,-0.006383148906352609,0.26003464971955265,0.10504276867514989,8.0,20.181265262449916,35.687412511794385,49.51237966867609,1.0839200182125484,10.139807560044705,4.677378122772324,0.959881815641999,115440,115440,six_panel/2kHz/single_phase_2kHz_5Vpp_phi_8deg.png,20260714,144000,24000.0,6.0
2000.0,10.0,500.0,495.1340343707852,494.9294134496818,-1.0141173100636336,-0.04132636960886282,0.2815162731258612,0.05688008541736875,8.0,20.181265262449916,41.7160322622022,54.902677493989735,1.0839200182125484,9.99566680133179,4.610887627029561,0.9598137987795416,115440,115440,six_panel/2kHz/single_phase_2kHz_10Vpp_phi_8deg.png,20260715,144000,24000.0,6.0
5000.0,0.1,5.0,4.951340343707852,4.936325453511127,-1.2734909297774544,-0.3032490023798351,0.19396761117671849,3.9293926829470394,8.0,20.350217562146117,-1.043972945893679,18.089368514686388,1.0564319480192979,10.055699447266502,4.759274587501785,0.9600941786772262,288706,288706,six_panel/5kHz/single_phase_5kHz_0p1Vpp_phi_8deg.png,20260716,360000,60000.0,6.0
5000.0,1.0,50.0,49.51340343707852,49.46930541071752,-1.0613891785649754,-0.08906280582600123,0.202511545703512,0.4093680799076632,8.0,20.350217562146117,18.97128689709807,37.73277772208154,1.0564319480192979,10.05759806791997,4.760173188049141,0.9599151213327071,288706,288706,six_panel/5kHz/single_phase_5kHz_1Vpp_phi_8deg.png,20260717,360000,60000.0,6.0
5000.0,3.0,150.0,148.54021031123554,148.46902177494817,-1.0206521500345511,-0.047925431193485135,0.20558335099309316,0.1384688526504336,8.0,20.350217562146117,28.57959570090636,47.1464696237782,1.0564319480192979,10.061178412082262,4.76186773362257,0.9597138833071267,288706,288706,six_panel/5kHz/single_phase_5kHz_3Vpp_phi_8deg.png,20260718,360000,60000.0,6.0
5000.0,5.0,250.0,247.5670171853926,247.3258451044815,-1.0696619582074018,-0.09741688681028648,0.21554248732095968,0.08714919673271708,8.0,20.350217562146117,33.031475284674784,51.47236720370162,1.0564319480192979,9.38072711673169,4.439816087690076,0.9597302349994057,288706,288706,six_panel/5kHz/single_phase_5kHz_5Vpp_phi_8deg.png,20260719,360000,60000.0,6.0
5000.0,10.0,500.0,495.1340343707852,494.7550809491209,-1.0489838101758187,-0.07653552277937514,0.4042116356859913,0.08169933998667903,8.0,20.350217562146117,39.02426009392891,51.90077640903962,1.0564319480192979,9.67130908147874,4.577345989777883,0.9600756522710185,288706,288706,six_panel/5kHz/single_phase_5kHz_10Vpp_phi_8deg.png,20260720,360000,60000.0,6.0
10000.0,0.1,5.0,4.951340343707852,4.952767048030242,-0.9446590393951682,0.028814507251628818,0.1485305621135428,2.9989410096042106,8.0,20.40625849733695,-3.45041003518256,18.02187374206694,1.8439451848625177,17.5338295190867,4.75443350025451,0.959571212074175,577483,577483,six_panel/10kHz/single_phase_10kHz_0p1Vpp_phi_8deg.png,20260721,720000,120000.0,6.0
10000.0,1.0,50.0,49.51340343707852,49.49359457981102,-1.0128108403779756,-0.04000706049763769,0.14341815841171904,0.2897711504474579,8.0,20.40625849733695,16.58722156108396,38.2989648441772,1.8439451848625177,17.61948561946624,4.777659814432045,0.9596641916775069,577483,577483,six_panel/10kHz/single_phase_10kHz_1Vpp_phi_8deg.png,20260722,720000,120000.0,6.0
10000.0,3.0,150.0,148.54021031123554,148.5100547121385,-0.9932968585743329,-0.020301303622682898,0.1626956961171491,0.10955197372494883,8.0,20.40625849733695,26.083528619215794,46.908058226262455,1.8439451848625177,16.980628656622223,4.604428807326037,0.9596307257431034,577483,577483,six_panel/10kHz/single_phase_10kHz_3Vpp_phi_8deg.png,20260723,720000,120000.0,6.0
10000.0,5.0,250.0,247.5670171853926,247.4644947049332,-1.0142021180267191,-0.041412011028352236,0.16123472381835635,0.0651546897709937,8.0,20.40625849733695,30.527773499690394,51.381218384339185,1.8439451848625177,17.139052102528197,4.647386550106711,0.9595412963551803,577483,577483,six_panel/10kHz/single_phase_10kHz_5Vpp_phi_8deg.png,20260724,720000,120000.0,6.0
10000.0,10.0,500.0,495.1340343707852,494.6667985555918,-1.0666402888816373,-0.09436552181009139,0.2699212926502528,0.054566284504723714,8.0,20.40625849733695,36.53099649876266,52.93922072734887,1.8439451848625177,17.069828631222126,4.628616070410692,0.9598076029129715,577483,577483,six_panel/10kHz/single_phase_10kHz_10Vpp_phi_8deg.png,20260725,720000,120000.0,6.0
